cod;original;simplified
6387;Esta iniciativa hace hincapié en la importancia de limpiarse la lengua, ya que si se lleva a cabo una o dos veces al día, además de prevenir diversas patologías orales, se contribuye a la mejora del sentido del gusto;Esta iniciativa hace hincapié en la importancia de limpiarse la lengua, ya que si se lleva a cabo una o dos veces al día, además de prevenir diversas enfermedades orales, se contribuye a la mejora del sentido del gusto
8492;Trastornos del sistema inmune Raras: reacciones anafilÃ¡cticas/anafilactoides, incluyendo casos muy raros de urticaria, angioedema y reacciones graves con sÃ­ntomas respiratorios y circulatorios.;Trastornos del sistema inmune Raras: reacciones anafilÃ¡cticas/anafilactoides, incluyendo casos muy raros de urticaria, hinchazÃ³n debajo de la piel y reacciones graves con sÃ­ntomas respiratorios y circulatorios.
7926;TambiÃ©n puede aparecer angioedema de intensidad leve, por ejemplo de afectaciÃ³n maleolar.;TambiÃ©n puede aparecer hinchazÃ³n debajo de la piel de intensidad leve, por ejemplo de afectaciÃ³n maleolar.
8072;Frecuentes: temblores.;Frecuentes: temblor.
776;Todas las personas y entidades interesadas en asistir a las I Jornadas Intergeneracionales sobre prevención de los Malos Tratos y Abusos a Personas Mayores que se celebrarán en Madrid los días 26 y 27 de noviembre en la Sala Europa de la Comisión Europea de Madrid, ya pueden inscribirse como asistentes;Todas las personas y entidades interesadas en asistir a las I Jornadas Intergeneracionales sobre prevención de los Malos Tratos y Abusos a Personas Mayores que se harán en Madrid los días 26 y 27 de noviembre en la Sala Europa de la Comisión Europea de Madrid, ya pueden inscribirse como asistentes
1296;La palabra clave en toda su intervención fue la accesibilidad, de tal manera que España tiene las mayores ciudades accesibles de toda Europa y la importancia de la solidaridad entre las entidades más importantes que se aglutinan todas en torno al Comité Español de Representantes de Personas con Discapacidad, Cermi.;La palabra clave en toda su intervención fue la accesibilidad, de tal manera que España tiene las mayores ciudades accesibles de toda Europa y la importancia de la solidaridad entre las entidades más importantes que se  unen todas en torno al Comité Español de Representantes de Personas con Discapacidad, Cermi.
4651;¿Eres consciente de que no sólo la voluntad mueve montañas sino el ejemplo de longevidad física para la ciencia de la preparación física?;¿Eres consciente de que no sólo la intención mueve montañas sino el ejemplo de longevidad física para la ciencia de la preparación física?
1258;"Inmaculada Placencia habló del Acta europea de Accesibilidad destacando los 4 elementos de las Directiva: la respuesta a los servicios de emergencia del 112; el entorno construido; las compras públicas y que cualquier legislación europea se rige por los requisitos del Acta.";"Inmaculada Placencia habló del Acta europea de Accesibilidad destacando los 4 elementos de las Directiva: la respuesta a los servicios de emergencia del 112; el entorno construido; las compras públicas y que cualquier leyes europea se rige por los requisitos del Acta."
632;Finalmente, la ministra ha destacado que también se está vigilante con el incremento de adolescentes con discapacidades psicosociales derivados de Trastornos del Espectro del Autismo o de enfermedades de Salud Mental;Finalmente, la ministra ha destacado que también se está atento con el incremento de adolescentes con discapacidades psicosociales derivados de Trastornos del Espectro del Autismo o de enfermedades de Salud Mental
1941;España cuenta hoy con un Sistema Nacional de Salud con una cobertura universal de amplio alcance y es uno de los pilares de nuestro Estado del Bienestar.;España cuenta hoy con un Sistema Nacional de Salud con una cobertura universal de gran alcance y es uno de los pilares de nuestro Estado del Bienestar.
6196;A partir de los 50 años, los adultos suelen experimentar una pérdida de masa muscular y fuerza de forma natural, la cual puede acelerarse más o menos en función del estilo de vida, la actividad física regular realizada y la cantidad y calidad de los nutrientes ingeridos;A partir de los 50 años, los adultos suelen experimentar una pérdida de masa muscular y fuerza de forma natural, la cual puede acelerarse más o menos en función del estilo de vida, la actividad física regular realizada y la cantidad y calidad de los alimentos ingeridos
5286;Su éxito ha sido tal que ha consolidado a su autor como un prestigioso referente terapéutico que está creando escuela entre las nuevas generaciones de psicólogos españoles e iberoamericanos.;Su éxito ha sido tal que ha afianzado a su autor como un prestigioso referente terapéutico que está creando escuela entre las nuevas generaciones de psicólogos españoles e iberoamericanos.
3643;Se trata del repertorio más completo del Bosco, uno de los artistas más enigmáticos e influyentes del Renacimiento, que invita al público a adentrarse en su personal visión del mundo a través de un montaje expositivo espectacular que presenta exentos sus trípticos más relevantes para que se puedan contemplar tanto el anverso como el reverso.;Se trata del repertorio más completo del Bosco, uno de los artistas más misterioso e influyentes del Renacimiento, que invita al público a adentrarse en su personal visión del mundo a través de un montaje expositivo espectacular que presenta exentos sus trípticos más relevantes para que se puedan contemplar tanto el anverso como el reverso.
2428;El 80 por 100 de las personas dependientes desean seguir viviendo en sus casas;El 80 por 100 de las personas dependientes quieren seguir viviendo en sus casas
867;Por este motivo, Amigos de los Mayores ha iniciado una campaña de Navidad para conseguir donativos y terminar con el sentimiento de soledad y aislamiento social que sufren las personas mayores a lo largo del año, pero especialmente durante las fechas navideñas- estas contribuciones son decisivas para tirar hacia delante todas las acciones que desarrolla la entidad durante todo el año y que las personas mayores puedan disfrutar de una Navidad e compañía.;Por este motivo, Amigos de los Mayores ha iniciado una campaña de Navidad para conseguir donativos y terminar con el sentimiento de soledad y aislamiento social que sufren las personas mayores a lo largo del año, pero especialmente durante las fechas navideñas- estas contribuciones son decisivas para  sacar adelante todas las acciones que desarrolla la entidad durante todo el año y que las personas mayores puedan disfrutar de una Navidad e compañía.
6742;Además, se identificaron 37 casos de deterioro cognitivo leve: 17 (13,4%) en la dieta suplementada con aceite de oliva, 12 en el grupo control, y sólo 8 (7,1%) en la dieta suplementada con frutos secos.;Además, se identificaron 37 casos de deterioro cognitivo leve: 17 (13,4%) en la dieta  mejorada con aceite de oliva, 12 en el grupo control, y sólo 8 (7,1%) en la dieta  mejorada con frutos secos.
4136;Prevalece la idea en España de que no han existido pensadores de relevancia a lo largo del siglo XX;Prevalece la idea en España de que no han existido pensadores de importancia a lo largo del siglo XX
497;El Consejo de Ministros de Sanidad europeo, presidido por la ministra finlandesa, Krista Kiuru, ha planteado debate sobre la política farmacéutica europea y cómo trabajar para fortalecer la cooperación y coordinación para mejorar el acceso a los medicamentos.;El Consejo de Ministros de Sanidad europeo, presidido por la ministra finlandesa, Krista Kiuru, ha planteado debate sobre la política farmacéutica europea y cómo trabajar para fortalecer la colaboración y coordinación para mejorar el acceso a los medicamentos.
719;La presidenta de «di_mad», Soledad Hernández de la Rosa, ha destacado que “el éxito de un símbolo es que te puedas identificar con él, y en este caso el diseñador ha acertado plenamente;La presidenta de «di_mad», Soledad Hernández de la Rosa, ha destacado que “el éxito de un símbolo es que te puedas reconocer con él, y en este caso el diseñador ha acertado plenamente
581;El compromiso, ha insistido, es conseguir no solo no discriminar, sino lograr la plena inclusión de las personas con discapacidad.;El compromiso, ha insistido, es conseguir no solo no  excluir, sino lograr la plena inclusión de las personas con discapacidad.
2770;Respecto del presente, el presidente del Cermi presenta una situación de “cambios múltiples, incesantes y perturbadores, que se viven con zozobra, dudas e incertidumbre”;Respecto del presente, el presidente del Cermi presenta una situación de “cambios múltiples, incesantes y perturbadores, que se viven con zozobra, dudas e  recelo”
3124;María Luisa Carcedo ha asegurado que “España necesita un Estado de Bienestar que garantice y blinde derechos universales de ciudadanía y proteja contra la exclusión social”;María Luisa Carcedo ha asegurado que “España necesita un Estado de Bienestar que garantice y blinde derechos universales de ciudadanía y ayude contra la exclusión social”
7889;Nuestra realidad asistencial ha cambiado radicalmente en las últimas semanas a raíz de la pandemia generada por el coronavirus SARS-CoV-2 y el COVID-19, la grave enfermedad que genera en algunos pacientes;Nuestra realidad asistencial ha cambiado radicalmente en las últimas semanas a raíz de la pandemia provocada por el coronavirus SARS-CoV-2 y el COVID-19, la grave enfermedad que genera en algunos pacientes
2368;“La baja percepción del riesgo que tienen los adolescentes y jóvenes les hace ser un grupo especialmente vulnerable a la infección por el VIH y otras infecciones de transmisión sexual”, ha apuntado Pilar Aparicio;“La baja  concepto del riesgo que tienen los adolescentes y jóvenes les hace ser un grupo especialmente vulnerable a la infección por el VIH y otras infecciones de transmisión sexual”, ha apuntado Pilar Aparicio
2629;El objetivo del Plan nacional es prevenir y mitigar los efectos negativos que el calor excesivo puede tener sobre la salud de los ciudadanos, especialmente en los grupos de riesgo o más vulnerables, tales como personas mayores, mujeres gestantes, niños y enfermos crónicos, así como en las personas que trabajan o realizan esfuerzos al aire libre.;El objetivo del Plan nacional es prevenir y  suavizar los efectos negativos que el calor excesivo puede tener sobre la salud de los ciudadanos, especialmente en los grupos de riesgo o más vulnerables, tales como personas mayores, mujeres gestantes, niños y enfermos crónicos, así como en las personas que trabajan o realizan esfuerzos al aire libre.
1130;Por eso, la relación entre estos profesionales y los cuidadores será estrecha;Por eso, la relación entre estos profesionales y los cuidadores será cercana 
6367;Para conseguirlo, hay que buscar el consejo de especialistas cualificados y adoptar hábitos de vida saludables que atenúen los efectos adversos de la edad.;Para conseguirlo, hay que buscar el consejo de especialistas competentes y adoptar hábitos de vida saludables que atenúen los efectos adversos de la edad.
1500;El reto demográfico supone que de los 9 millones de más de 65 años, una de cada cinco personas tienen más de esta edad y viven en las ciudades la mayoría, pero son más representativos, más importantes los que viven en el medio rural y además los mayores de 80 años muchos viven solos en la ciudad;El reto demográfico supone que de los 9 millones de más de 65 años, una de cada cinco personas tienen más de esta edad y viven en las ciudades la mayoría, pero son más  importantes, más importantes los que viven en el medio rural y además los mayores de 80 años muchos viven solos en la ciudad
6148;Para ello, deben usarse espesantes tanto en los líquidos como en los alimentos triturados, los cuales deben ser homogéneos y no contener grumos, de forma que no se precise masticación;Para ello, deben usarse espesantes tanto en los líquidos como en los alimentos triturados, los cuales deben ser uniforme y no contener grumos, de forma que no se precise masticación
4903;Fíjate si tengo cariño al Land Rover que aún lo conservo en mi casa (lo dice admirando el intacto aspecto que muestra la joya de cuatro ruedas).;Fíjate si tengo cariño al Land Rover que aún lo conservo en mi casa (lo dice admirando el ileso aspecto que muestra la joya de cuatro ruedas).
3253;Por la tarde se desarrolló una mesa profesional en la que se expusieron los distintos sectores laborales del trabajador social para que los estudiantes comiencen a conocer en qué nichos de trabajo pueden encontrar una salida profesional.;Por la tarde se desarrolló una mesa profesional en la que se expusieron los distintos sectores laborales del trabajador social para que los estudiantes comiencen a conocer en qué  ámbitos de trabajo pueden encontrar una salida profesional.
7362;"Con sus soluciones nutricionales, Nutricia apoya el crecimiento y desarrollo saludable durante los primeros 1.000 días, y ayuda a abordar algunos de los mayores desafíos de salud del mundo: nacimiento prematuro; fallo de medro (crecimiento insuficiente); alergia alimentaria; enfermedades metabólicas raras; enfermedades crónicas y relacionadas con la edad, como fragilidad, cáncer, ictus y enfermedad de Alzheimer leve.";"Con sus soluciones alimenticias, Nutricia apoya el crecimiento y desarrollo saludable durante los primeros 1.000 días, y ayuda a abordar algunos de los mayores desafíos de salud del mundo: nacimiento prematuro; fallo de medro (crecimiento insuficiente); alergia alimentaria; enfermedades metabólicas raras; enfermedades crónicas y relacionadas con la edad, como fragilidad, cáncer, ictus y enfermedad de Alzheimer leve."
